City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,carnarvon,-24.8667,113.6333,296.57,37,100,8.3,AU,1713818284
307,balikpapan,-1.2675,116.8289,299.7,89,20,1.03,ID,1713818577
308,onsala,57.4253,12.029,277.5,62,9,0.45,SE,1713818578
309,pont rouge,48.8833,-72.0825,273.31,29,80,5.08,CA,1713818579
310,dunhua,43.3725,128.2425,279.3,90,78,3.27,CN,1713818375
311,rock springs,41.5875,-109.2029,292.72,14,0,14.92,US,1713818514
312,nasir,15.5894,32.5634,306.86,11,3,5.1,SD,1713818580
313,kapuskasing,49.4169,-82.4331,284.2,32,75,5.14,CA,1713818361
314,chabahar,25.2919,60.643,299.13,73,0,3.68,IR,1713818580
315,ancud,-41.8697,-73.8203,283.3,77,85,4.09,CL,1713818302
316,jianguang,28.1938,115.7836,291.88,94,99,2.78,CN,1713818581
317,salaga,8.5508,-0.5188,302.74,62,78,1.62,GH,1713818581
318,siwa oasis,29.2041,25.5195,301.86,11,91,5.46,EG,1713818582
319,pangody,65.85,74.4859,260.67,92,100,7.07,RU,1713818584
320,turpan,42.9333,89.1667,294.81,16,5,1.32,CN,1713818375
321,panaba,21.2833,-88.2667,306.57,42,8,8.32,MX,1713818585
322,chirala,15.8167,80.35,301.33,81,13,4.81,IN,1713818585
323,daru,-9.0763,143.2092,299.81,88,100,3.59,PG,1713818587
324,novouzensk,50.4592,48.1431,290.0,77,100,2.42,RU,1713818588
325,visby,57.6409,18.296,273.61,69,100,7.2,SE,1713818590
326,mizque,-17.941,-65.3402,299.49,50,44,4.48,BO,1713818590
327,benguela,-12.5763,13.4055,299.86,83,98,1.32,AO,1713818593
328,bereznik,62.8551,42.7072,275.2,89,100,5.68,RU,1713818593
329,kochenevo,55.0218,82.202,276.81,80,56,7.5,RU,1713818594
330,la passe,45.5549,-0.8967,282.58,73,33,3.58,FR,1713818595
331,alo,7.4178,6.7371,302.01,68,91,1.73,NG,1713818595
332,teknaf,20.8624,92.3058,300.15,90,8,1.54,BD,1713818596
333,timbuktu,16.7735,-3.0074,307.55,21,1,1.0,ML,1713818183
334,maues,-3.3836,-57.7186,299.57,95,86,1.25,BR,1713818596
335,simiti,7.9579,-73.9436,301.88,77,100,1.25,CO,1713818597
336,namibe,-15.1961,12.1522,298.38,72,17,1.47,AO,1713818375
337,sierra grande,-41.606,-65.3557,282.51,76,100,3.46,AR,1713818502
338,kavaratti,10.5669,72.642,302.95,73,75,3.96,IN,1713818587
339,conde,-7.2597,-34.9075,301.85,79,20,5.14,BR,1713818598
340,hinton,53.4001,-117.5857,284.58,30,100,3.35,CA,1713818451
341,howard springs,-12.497,131.047,299.1,90,45,2.28,AU,1713818434
342,lagoa,39.05,-27.9833,288.13,85,100,8.02,PT,1713818600
343,oncativo,-31.9135,-63.682,295.75,76,94,3.77,AR,1713818601
344,yanykurgan,43.915,67.2481,293.94,58,8,3.12,KZ,1713818601
345,gorodoviki,46.1353,41.9656,286.49,55,2,2.34,RU,1713818603
346,richards bay,-28.783,32.0377,295.73,94,100,3.19,ZA,1713818603
347,akdepe,42.0551,59.3788,293.2,27,22,2.41,TM,1713818603
348,kayangel,8.0823,134.7173,301.64,78,98,7.51,PW,1713818604
349,arauco,-37.2463,-73.3175,285.84,79,100,1.6,CL,1713818604
350,mabaruma,8.2,-59.7833,302.8,59,54,2.91,GY,1713818604
351,khargupur,27.3833,81.9833,301.65,21,13,1.95,IN,1713818605
352,lafayette,30.2335,-92.0668,295.88,35,0,2.06,US,1713818583
353,magdagachi,53.45,125.8,279.16,90,100,3.51,RU,1713818606
354,baker city,44.7749,-117.8344,289.11,31,0,3.09,US,1713818498
355,seryshevo,51.0933,128.3786,282.27,81,100,8.06,RU,1713818607
356,tshikapa,-6.4167,20.8,297.58,82,68,1.39,CD,1713818607
357,vilyuysk,63.7553,121.6247,269.26,99,100,0.89,RU,1713818022
358,swiecie,53.4095,18.4474,275.69,86,100,2.6,PL,1713818608
359,isfara,40.1265,70.6253,292.73,43,100,2.23,TJ,1713818609
360,hadibu,12.65,54.0333,301.17,80,56,1.95,YE,1713818078
361,san rafael del sur,11.8485,-86.4384,308.69,52,97,3.28,NI,1713818611
362,mahina,-17.5065,-149.489,303.02,70,20,2.06,PF,1713818611
363,kargil,34.5667,76.1,270.86,63,97,2.22,IN,1713818614
364,greenland,43.0362,-70.8328,287.02,20,20,4.12,US,1713818614
